X,Y,TX1_1,TX1_2,TX1_3,TX1_4,TX1_5,TX1_6,TX1_7,TX1_8,TX1_9,TX2_1,TX2_2,TX2_3,TX2_4,TX2_5,TX2_6,TX2_7,TX2_8,TX2_9
4,6,0.0234582018273,0.0723422096797,0.00806573662195,0.00806573662195,0.00810540555551,-0.0476262497612,-0.0723422096797,-0.0241680479339,-0.00810540555551,0.000695528361429,0.00551884751407,-0.00255739119736,0.00621331153042,0.00322654348113,-0.000597168732112,-0.000945408361253,-0.00375558005228,-0.00351607025991
5,0,0.15269261365,0.0726953633048,0.021798727934,0.021798727934,0.0065756728419,-0.0863248252988,-0.0726953633048,0.0663677883514,-0.0065756728419,0.000199540586334,0.00412967753489,-0.0014763567465,0.00436512852022,0.00292178319413,4.48854826233e-05,-7.21361405175e-05,-0.00220094990275,-0.00277968173759
12,10,0.00980959654672,0.0155294481592,0.0012143505227,0.0012143505227,0.000915319241226,-0.0107216878155,-0.0155294481592,-0.000912091268766,-0.000915319241226,-0.00220035368714,0.0127835109313,-0.00766441328128,0.0154843313272,0.0125395137101,-0.00350458824648,-0.00130731580983,-0.0112489489656,-0.00867972834846
2,9,-0.0085802361968,0.0491048885478,0.0037912573647,0.0037912573647,0.00642403352033,-0.0370643749694,-0.0491048885478,-0.0456446111662,-0.00642403352033,0.0039782512367,0.00734091553199,-0.00295534120321,0.00793737330341,0.000903848015184,-0.000214860860711,-0.00248842458171,-0.00428803742003,-0.00478507411416
9,4,0.0345504665318,0.0296012684356,0.0056688517493,0.0056688517493,0.0028219759186,-0.0243728310106,-0.0296012684356,0.0101776355211,-0.0028219759186,-0.000756265059182,0.00543800655933,-0.00261593890205,0.00610395366489,0.0052598773831,-0.000635032942739,-2.55140084675e-05,-0.00374205908061,-0.00384854391463
3,2,0.136716125056,0.159062116566,0.0316279973908,0.0316279973908,0.0196233048278,-0.115751433806,-0.159062116566,0.0209646912501,-0.0196233048278,0.000612854461362,0.00430616372451,-0.00197253122623,0.00483465298263,0.0024306421795,-0.000440312133041,-0.000758788194722,-0.00289926044992,-0.00273855047491
12,14,0.0043128195154,0.0117085658227,0.000448131090749,0.000448131090749,0.000432600668726,-0.00779952812705,-0.0117085658227,-0.00348670861165,-0.000432600668726,0.00284133425971,0.0269321464234,-0.0146589308066,0.0316355355497,0.0158113227297,-0.00520502284671,-0.0065493224926,-0.0211753519412,-0.0165506332031
1,8,-0.0171521024967,0.062804713588,0.00528632330016,0.00528632330016,0.00990410743405,-0.0498405194554,-0.062804713588,-0.0669926219521,-0.00990410743405,0.00233805710963,0.00569442218267,-0.00298279224592,0.00650899232721,0.00128711249515,-0.000758929297239,-0.00228432474428,-0.00408105526885,-0.00344850837107
7,3,0.0565188395174,0.0483748098728,0.00763233598983,0.00763233598983,0.00380141516855,-0.0400064853381,-0.0483748098728,0.0165123541793,-0.00380141516855,-0.000694087362318,0.00554491569424,-0.00274441068556,0.00629135062264,0.00522274797937,-0.000760629296171,-0.000160140996609,-0.00395439826796,-0.00387224451928
12,11,0.0077222884147,0.0133783179465,0.00109544986964,0.00109544986964,0.000866623106949,-0.00911753488812,-0.0133783179465,-0.00139524647343,-0.000866623106949,-0.00112363856326,0.0165380006873,-0.00934162761361,0.0196728493172,0.0137209055062,-0.00378131565407,-0.00238551699863,-0.0136661113992,-0.0107905125223
14,5,0.016652048458,0.0120368853622,0.00161171228501,0.00161171228501,0.000701741758123,-0.0108994816633,-0.0120368853622,0.0057525667947,-0.000701741758123,-0.00432092863711,0.00731295775133,-0.00459901143397,0.00844359287771,0.0127089578853,-0.00162401140713,0.00165924644017,-0.00592529309493,-0.00678841543058
7,10,0.00769240303211,0.027944957724,0.00232257764408,0.00232257764408,0.00245665657189,-0.0185232011121,-0.027944957724,-0.0108307980799,-0.00245665657189,0.00305731519948,0.010701822493,-0.0055379254937,0.0123071182789,0.00394451394232,-0.00156229911247,-0.00348228195966,-0.00781741376877,-0.00647653169492
